date,start_time,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes
2000-11-30,7:30 pm,Chicago Bulls,91,Atlanta Hawks,82,Box Score,,10956,
2000-11-30,9:00 pm,Houston Rockets,109,Denver Nuggets,105,Box Score,OT,13684,
2000-11-30,10:30 pm,Indiana Pacers,95,Golden State Warriors,99,Box Score,,13149,
2000-11-30,8:00 pm,Boston Celtics,97,Milwaukee Bucks,108,Box Score,,13247,
2000-11-30,10:00 pm,Dallas Mavericks,84,Portland Trail Blazers,95,Box Score,,19980,
2000-11-30,10:00 pm,Los Angeles Lakers,88,Seattle SuperSonics,121,Box Score,,17072,
2000-12-01,7:30 pm,Minnesota Timberwolves,102,Boston Celtics,98,Box Score,,14630,
2000-12-01,8:30 pm,New York Knicks,91,Chicago Bulls,86,Box Score,,22099,
2000-12-01,8:00 pm,Cleveland Cavaliers,93,Detroit Pistons,103,Box Score,,15323,
2000-12-01,10:30 pm,San Antonio Spurs,100,Los Angeles Lakers,109,Box Score,,18997,
2000-12-01,7:30 pm,Utah Jazz,94,Miami Heat,92,Box Score,,15632,
2000-12-01,7:30 pm,New Jersey Nets,80,Orlando Magic,83,Box Score,,13827,
2000-12-01,7:00 pm,Charlotte Hornets,74,Philadelphia 76ers,95,Box Score,,18377,
2000-12-01,10:30 pm,Phoenix Suns,98,Sacramento Kings,105,Box Score,,17317,
2000-12-01,7:00 pm,Los Angeles Clippers,95,Toronto Raptors,104,Box Score,OT,18470,
2000-12-01,10:00 pm,Indiana Pacers,86,Vancouver Grizzlies,76,Box Score,OT,11758,
2000-12-02,2:30 pm,Milwaukee Bucks,94,Atlanta Hawks,101,Box Score,,9827,
2000-12-02,7:30 pm,Utah Jazz,89,Charlotte Hornets,94,Box Score,,13360,
2000-12-02,7:30 pm,Philadelphia 76ers,112,Cleveland Cavaliers,78,Box Score,,20562,
2000-12-02,9:00 pm,Seattle SuperSonics,92,Denver Nuggets,103,Box Score,,14234,
2000-12-02,10:30 pm,Dallas Mavericks,97,Golden State Warriors,78,Box Score,,12187,
2000-12-02,8:30 pm,Portland Trail Blazers,96,Houston Rockets,85,Box Score,,12648,
2000-12-02,7:30 pm,Orlando Magic,95,New Jersey Nets,74,Box Score,,14897,
2000-12-02,7:30 pm,Minnesota Timberwolves,90,New York Knicks,100,Box Score,,19763,
2000-12-02,8:00 pm,Miami Heat,93,Washington Wizards,90,Box Score,,20674,
2000-12-03,12:30 pm,Los Angeles Clippers,87,Boston Celtics,96,Box Score,,13583,
2000-12-03,7:00 pm,Washington Wizards,87,Detroit Pistons,93,Box Score,,12137,
2000-12-03,9:30 pm,Dallas Mavericks,97,Los Angeles Lakers,99,Box Score,,18997,
2000-12-03,3:00 pm,Indiana Pacers,80,Milwaukee Bucks,92,Box Score,,15446,
2000-12-03,8:00 pm,Portland Trail Blazers,79,Phoenix Suns,84,Box Score,,17621,
2000-12-03,9:00 pm,Golden State Warriors,102,Seattle SuperSonics,118,Box Score,,11669,
2000-12-03,3:30 pm,San Antonio Spurs,97,Vancouver Grizzlies,79,Box Score,,11655,
2000-12-04,9:00 pm,Philadelphia 76ers,98,Denver Nuggets,105,Box Score,,15129,
2000-12-04,7:30 pm,Los Angeles Clippers,78,New York Knicks,106,Box Score,,19763,
2000-12-05,7:30 pm,Miami Heat,100,Atlanta Hawks,92,Box Score,,10691,
2000-12-05,7:30 pm,Charlotte Hornets,66,Cleveland Cavaliers,71,Box Score,,14544,
2000-12-05,8:30 pm,Dallas Mavericks,102,Houston Rockets,109,Box Score,,11426,
2000-12-05,7:00 pm,New Jersey Nets,64,Indiana Pacers,88,Box Score,,16731,
2000-12-05,10:30 pm,Philadelphia 76ers,85,Los Angeles Lakers,96,Box Score,,18997,
2000-12-05,8:00 pm,Chicago Bulls,90,Minnesota Timberwolves,100,Box Score,,16170,
2000-12-05,7:30 pm,Boston Celtics,98,Orlando Magic,101,Box Score,,13324,
2000-12-05,8:00 pm,San Antonio Spurs,75,Sacramento Kings,81,Box Score,,17317,
2000-12-05,9:00 pm,Toronto Raptors,84,Utah Jazz,98,Box Score,,19288,
2000-12-05,10:00 pm,Detroit Pistons,83,Vancouver Grizzlies,91,Box Score,,12578,
2000-12-06,7:30 pm,Indiana Pacers,88,Charlotte Hornets,91,Box Score,,11877,
2000-12-06,8:00 pm,Cleveland Cavaliers,92,Chicago Bulls,88,Box Score,,21395,
2000-12-06,8:00 pm,New York Knicks,85,Dallas Mavericks,94,Box Score,,14551,
2000-12-06,10:30 pm,Los Angeles Lakers,122,Golden State Warriors,125,Box Score,OT,19273,
2000-12-06,7:30 pm,Denver Nuggets,78,Miami Heat,95,Box Score,,14463,
2000-12-06,7:30 pm,Milwaukee Bucks,109,New Jersey Nets,87,Box Score,,11420,
2000-12-06,10:00 pm,Toronto Raptors,88,Portland Trail Blazers,95,Box Score,,19980,
2000-12-06,10:00 pm,Detroit Pistons,112,Seattle SuperSonics,99,Box Score,,14795,
2000-12-06,7:00 pm,Los Angeles Clippers,93,Washington Wizards,88,Box Score,,11602,
2000-12-07,8:00 pm,Phoenix Suns,104,Milwaukee Bucks,96,Box Score,,14236,
2000-12-07,8:00 pm,Washington Wizards,88,Minnesota Timberwolves,105,Box Score,,16018,
2000-12-07,7:30 pm,Denver Nuggets,93,Orlando Magic,103,Box Score,,13123,
2000-12-07,8:00 pm,New York Knicks,86,San Antonio Spurs,83,Box Score,,18370,
2000-12-07,9:00 pm,Vancouver Grizzlies,87,Utah Jazz,98,Box Score,,17958,
2000-12-08,7:30 pm,Indiana Pacers,104,Boston Celtics,91,Box Score,,14834,
2000-12-08,7:30 pm,Los Angeles Clippers,87,Charlotte Hornets,92,Box Score,,12086,
2000-12-08,8:00 pm,Chicago Bulls,86,Dallas Mavericks,105,Box Score,,16600,
2000-12-08,10:30 pm,Toronto Raptors,108,Golden State Warriors,92,Box Score,,18316,
2000-12-08,10:30 pm,Seattle SuperSonics,103,Los Angeles Lakers,95,Box Score,,18997,
2000-12-08,7:30 pm,Atlanta Hawks,76,Miami Heat,80,Box Score,,15031,
2000-12-08,7:30 pm,Phoenix Suns,84,New Jersey Nets,86,Box Score,,12543,
2000-12-08,10:00 pm,Philadelphia 76ers,107,Portland Trail Blazers,94,Box Score,,20113,
2000-12-08,10:30 pm,Houston Rockets,98,Sacramento Kings,111,Box Score,,17317,
2000-12-09,7:30 pm,Atlanta Hawks,90,Cleveland Cavaliers,97,Box Score,,15766,
2000-12-09,7:00 pm,Charlotte Hornets,96,Indiana Pacers,99,Box Score,OT,18345,
2000-12-09,8:30 pm,Washington Wizards,91,Milwaukee Bucks,99,Box Score,,15768,
2000-12-09,8:00 pm,Los Angeles Clippers,73,Minnesota Timberwolves,85,Box Score,,16143,
2000-12-09,7:30 pm,Denver Nuggets,88,New York Knicks,96,Box Score,,19763,
2000-12-09,10:00 pm,Detroit Pistons,83,Portland Trail Blazers,114,Box Score,,19980,
2000-12-09,8:30 pm,Chicago Bulls,81,San Antonio Spurs,105,Box Score,,19447,
2000-12-09,10:00 pm,Houston Rockets,111,Seattle SuperSonics,104,Box Score,,15730,
2000-12-09,9:00 pm,Golden State Warriors,114,Utah Jazz,125,Box Score,,18777,
